MI_PRINX,SL Number,Site ID,Street Location,Between Street 1,Between Street 2,Direction Bound,Start Date,End Date,Count Year,Ave Weekday Traffic,ADT,AM Peak 8 To 9,PM Peak 5 To 6,Percent Heavy Vehicles,Speed Limit,Percentile 85th,Percent Exceed Speed Limit,Data Collected By,Longitude,Latitude,x,y
371,11,HAY_HAL_PLN_83,Hay Street,Hale St,Plain St,Eastbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,2344,2140,296,293,11.7,50,50.94,18.65,COP,115.8764268,-31.9598648,12899306.0218,-3758041.6401
372,12,HAY_HAL_PLN_84,Hay Street,Hale St,Plain St,Westbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,4791,4449,341,516,4.8,50,53.64,36.39,COP,115.8764268,-31.9598648,12899306.0218,-3758041.6401
373,75,HAYST_HALE_PLAIN,Hay Street,Hale St,Plain St,Eastbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,2344,2140,296,293,11.7,50,50.94,18.65,COP,115.8764268,-31.9598648,12899306.0218,-3758041.6401
374,76,HAYST_HALE_PLAIN,Hay Street,Hale St,Plain St,Westbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,4791,4449,341,516,4.8,50,53.64,36.39,COP,115.8764268,-31.9598648,12899306.0218,-3758041.6401
375,68,ESTPRD_GRMFFW_KENSTN,East Parade,Freeway,Kensington St,South,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,14785,13704,1730,938,0.0275,60,56.9,0.066,Pantagon,115.876809,-31.949054,12899348.5689,-3756623.2598
376,69,ESTPRD_GRMFFW_KENSTN,East Parade,Freeway,Kensington St,North,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,14172,13161,920,1612,0.0295,60,52.6,0.0255,Pantagon,115.876818,-31.949867,12899349.5706,-3756729.9199
377,13,HAY_CWY_TTY_85,Hay Street,Causeway,Trinity Ave,Northbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,2364,2181,307,184,4.3,50,47.17,5.162,COP,115.8793829,-31.9617768,12899635.0935,-3758292.5131
378,77,HAYST_CAUSWY_TRINTY,Hay Street,Causeway,Trinity Ave,Northbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,2364,2181,307,184,4.3,50,47.17,5.162,COP,115.8793829,-31.9617768,12899635.0935,-3758292.5131
379,22,ROYAL-HAIGPC-TRAFGR,Royal street,Haig Park Circle,Trafalgar road,Eastbound/Westbound,10/16/2023 12:00:00 AM,10/23/2023 12:00:00 AM,2023,2936,2744,268,290,0.5,50,40.32,0.651,COP,115.8795195,-31.9531409,12899650.2997,-3757159.4427
380,14,HAY_CWY_TTY_86,Hay Street,Causeway,Trinity Ave,Southbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,5629,5161,438,663,1.6,50,46.98,4.727,COP,115.8799564,-31.9615373,12899698.9353,-3758261.0882
381,78,HAYST_CAUSWY_TRINTY,Hay Street,Causeway,Trinity Ave,Southbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,5629,5161,438,663,1.6,50,46.98,4.727,COP,115.8799564,-31.9615373,12899698.9353,-3758261.0882
382,23,TRAFGR_ROYACONSTNNL_NILE,Tragalgar Road,Royal street,Nile street,Southbound/Northbound,10/16/2023 12:00:00 AM,10/23/2023 12:00:00 AM,2023,2165,1885,220,247,2.4,50,46.98,7.6,COP,115.880141,-31.9544936,12899719.4847,-3757336.9162
