X,Y,SITE_REFERENCE_ID,SIGNAL_TYPE,NODE_ID,NODE_NAME,NODE_DESCR,SERVICE_STATUS,OBJECTID,GlobalID
115.831786000354,-31.8737210005618,LM00198,Intersection,55055,055055,Wanneroo Rd & Amelia St,In Service,2004523,{A94A9812-6C0A-4D99-90AC-11008637645E}
114.62290383439,-28.8057424812374,LM01114,Intersection,13482,013482,Brand Hwy & Ackland Rd,In Service,2004524,{12EFFDA8-B45C-42B5-8336-5E60E81FBB74}
115.892330475557,-31.9649886342424,LM00260,Intersection,14170,014170,Great Eastern Hwy & Craig St,In Service,2004525,{D25E4434-3953-4C5B-B28B-4DB178767298}
115.899010320112,-31.9625310350835,LM01167,Intersection,14186,014186,Great Eastern Hwy & Victoria Park Dr & Burswood Rd,In Service,2004526,{1BB1FB9D-8B9F-49F6-88AB-90EE162F9FFC}
115.902718970407,-31.9600392754579,LM00673,Intersection,14194,014194,Great Eastern Hwy & Griffiths St & H020 West Bound - GEH Off,In Service,2004527,{07944A88-EC9C-4096-B02D-946E07BF2040}
115.942078411832,-31.9317892544123,LM00107,Intersection,4146,004146,Great Eastern Hwy & H017 Sth Bound - GEH Off,In Service,2004528,{01597206-3987-4A84-B0CE-97F5536BBB85}
115.942078411832,-31.9317892544123,LM00449,Intersection,4146,004146,Great Eastern Hwy & H017 Sth Bound - GEH Off,In Service,2004529,{353915C7-8B8D-4C09-8AB4-700C4181A4A0}
115.951885812739,-31.9257685382975,LM00391,Intersection,14713,014713,Great Eastern Hwy & Fauntleroy Av,In Service,2004530,{CE727DB2-838C-46F4-A6AE-08B6374773D0}
115.957665444002,-31.9215424483651,LM00510,Intersection,14721,014721,Great Eastern Hwy & Great Eastern Hwy Bypass,In Service,2004531,{C29A5FA9-001B-47D3-8EFC-0A1F689C4039}
115.9664285037,-31.9098757347081,LM00188,Intersection,4428,004428,Great Eastern Hwy & Kalamunda Rd,In Service,2004532,{935D3A66-06CE-424C-9088-77CC67F63D4B}
115.968826740595,-31.899322246506,LM00108,Intersection,4162,004162,Great Eastern Hwy & Guildford Rd,In Service,2004533,{DD54B1E6-06A8-4A48-B5E2-F486788717B9}
115.971691630367,-31.8993307862652,LM00340,Intersection,4118,004118,Great Eastern Hwy & Meadow St,In Service,2004534,{E6833095-8F9C-48CF-ABB6-3335F1417737}
115.981936000159,-31.8950670001515,LM00224,Intersection,4430,004430,Great Eastern Hwy & Terrace Rd,In Service,2004535,{6C26395F-4EE5-4365-84DF-96A3F49D0F1B}
115.996137130776,-31.8906486576923,LM00291,Intersection,4431,004431,Great Eastern Hwy & Morrison Rd,In Service,2004536,{C2EE37FD-6CF0-4823-8E8A-FEE97A73B04E}
116.013477318468,-31.8918418249012,LM00384,Intersection,4040,004040,Great Eastern Hwy & Lloyd St,In Service,2004537,{1C9EF30A-A91C-49AD-8F12-E31C7EE8E27C}
116.019258859847,-31.8928299135027,LM01274,Intersection,14855,014855,Great Eastern Hwy & Ferguson St,Design,2004538,{E9788906-57DB-4963-A7EE-0C308B1FFDC6}
116.032336000594,-31.8951490007124,LM00768,Intersection,4044,004044,Great Eastern Hwy & Farrall Rd & Horace St,In Service,2004539,{AD8F1383-2A09-4C0D-A49C-F4E308D6693B}
116.168206004613,-31.9020889597856,LM00785,Intersection,4050,004050,Great Eastern Hwy & Stoneville Rd & Mundaring Weir Rd,In Service,2004540,{578D90FB-B9D5-42CF-93C7-62C7BBBE59EC}
114.625975358312,-28.7785444704566,LM00600,Intersection,2098,002098,North West Coastal Hwy & Eastward Rd,In Service,2004541,{DF37B5B5-CD3D-41AE-950A-9627F9945F9E}
114.62470999847,-28.7672239994999,LM00661,Intersection,13483,013483,North West Coastal Hwy & Phelps St,In Service,2004542,{B536D779-9958-470C-8DE5-36F26B2837D9}
114.62487599835,-28.7593569997374,LM00831,Intersection,13487,013487,North West Coastal Hwy & Place Rd & Max Attrill Rd,In Service,2004543,{383E79BD-EE47-4011-81E8-8F91F4E48252}
116.017640637667,-32.1588492736644,LM00884,Intersection,11019,011019,South Western Hwy & Bedfordale Hill Rd & William St,In Service,2004544,{A0C305C4-71C8-4A30-93C8-1D94A72A1CE0}
116.015160048499,-32.1720715517159,LM01287,Intersection,14848,014848,South Western Hwy & Stone St,In Service,2004545,{E0F0C360-CC9B-43DA-8A61-E1ABE23E8FAB}
116.015160048499,-32.1720715517159,LM01287,Intersection,14848,014848,South Western Hwy & Stone St,In Service,2004546,{2EC9D49D-648A-4501-ADBE-8C271210201C}
116.015160048499,-32.1720715517159,LM01287,Intersection,14848,014848,South Western Hwy & Stone St,In Service,2004547,{08B132E5-8056-434E-B342-33AAF0443933}
116.01581985177,-32.1865572623382,LM01286,Intersection,4079,004079,South Western Hwy & Eleventh Rd,In Service,2004548,{1085E042-12E2-4F50-BD72-B7CFDB9E9E6D}
116.01581985177,-32.1865572623382,LM01286,Intersection,4079,004079,South Western Hwy & Eleventh Rd,In Service,2004549,{B9CDA989-A6B6-45D0-94AA-821ECC587123}
116.01581985177,-32.1865572623382,LM01286,Intersection,4079,004079,South Western Hwy & Eleventh Rd,In Service,2004550,{887CCEE3-EBE7-4BD4-AE1A-7F0E9487DAA9}
116.01581985177,-32.1865572623382,LM01286,Intersection,4079,004079,South Western Hwy & Eleventh Rd,In Service,2004551,{37A1735C-B15F-462C-87F0-EBBFE0CC41CC}
116.01173964546,-32.2049342194057,LM00876,Intersection,4020,004020,South Western Hwy & Thomas Rd,In Service,2004552,{CE9171B8-82FB-4793-8D49-AD569A8C36A8}
116.00885243765,-32.2217424800365,LM00922,Intersection,11024,011024,South Western Hwy & Beenyup Rd & Abernethy Rd,In Service,2004553,{D32BA2FC-880F-4A50-8C7D-17085C404C57}
115.873517335954,-32.6298649648608,LM00647,Intersection,4026,004026,South Western Hwy & Pinjarra,In Service,2004554,{2D0B69F9-6965-4220-9B6B-8A009F4CB231}
115.878570847489,-31.9622607323313,LM00351,Intersection,4139,004139,Albany Hwy & Adelaide Tce,In Service,2004555,{88BE41EF-17C8-47BF-90A8-9D45A810A4EC}
115.8936250004,-31.9699630003816,LM00187,Intersection,14173,014173,Albany Hwy & Teddington Rd,In Service,2004556,{B6F36C00-6619-475C-8101-B44DF07927B2}
115.89898299946,-31.9738209999556,LM00132,Intersection,14185,014185,Albany Hwy (End Dual) & Duncan St,In Service,2004557,{3036F938-A2B7-45B4-BE17-BBE2AA5F7944}
115.903659000166,-31.9786630005417,LM00829,Intersection,14197,014197,Albany Hwy & Miller St,In Service,2004558,{0F22162F-749A-4941-A488-43868863D0F2}
115.912985999942,-31.9938219996208,LM00092,Intersection,4122,004122,Albany Hwy (End Dual) & Welshpool Rd & Albany Hwy (Lg),In Service,2004559,{41EA4259-4318-4DE9-941C-8818BC889EB3}
115.923594772827,-32.0073032069462,LM00239,Intersection,14262,014262,Albany Hwy & Albany Hwy On - H012 East Boun & H012 East Bound - Albany Hwy O,In Service,2004560,{E7F0A326-BA32-4E24-9CFC-3509A6E59294}
115.924032346486,-32.0079844318174,LM00239,Intersection,14264,014264,Albany Hwy & H012 West Bound - Albany Hwy O & Albany Hwy On - H012 West Boun,In Service,2004561,{0673F984-979F-4F5F-AE38-FB9654104FF1}
115.926406748403,-32.0113512329623,LM00205,Intersection,14271,014271,Albany Hwy & Hamilton St,In Service,2004562,{ADE5E679-80FA-4D4F-A744-AB87D73EF68A}
115.927863783163,-32.0134753197099,LM00075,Intersection,4409,004409,Albany Hwy & Mallard Wy & Manning Rd,In Service,2004563,{360E04B1-AD73-42C6-A894-B276EC797215}
115.939112687706,-32.0228186483979,LM00628,Intersection,14306,014306,Albany Hwy & Liege St,In Service,2004564,{5F09DA00-F28B-40E2-ACC4-5A942C82AED2}
115.945186077822,-32.0268721316818,LM00191,Intersection,4255,004255,Albany Hwy & Nicholson Rd,In Service,2004565,{C0B78E5E-0748-444C-8A4C-08833ACD74DC}
115.949372781636,-32.0274968137105,LM00217,Intersection,4149,004149,Albany Hwy & William St & Kenwick Link,In Service,2004566,{69934755-6A23-428F-9BFD-921F4E4CD653}
115.977572999572,-32.048562000625,LM00881,Intersection,14753,014753,Albany Hwy & Burslem Dr,In Service,2004567,{C0CD896D-893C-4509-8715-27F25B290CAF}
115.983978000562,-32.0511179993133,LM00169,Intersection,4413,004413,Albany Hwy & Kelvin Rd & Olga Rd,In Service,2004568,{0D3E4B4D-FB32-46AF-AFF6-E038E1CC0778}
115.996251917836,-32.0607284110083,LM01261,Intersection,14781,014781,Albany Hwy & Pitchford Av,Design,2004569,{F8D1D96C-D992-40EA-9014-917E3D3DB1DF}
115.999042999382,-32.0635720007073,LM01045,Intersection,4414,004414,Albany Hwy & Gosnells Rd West,In Service,2004570,{0B866C87-6966-4571-93F0-F1F3FFF7719C}
116.000211000537,-32.0699930003427,LM00779,Intersection,82815,082815,Albany Hwy (End Dual) & Main St,In Service,2004571,{788CC1D8-EFC2-498C-A58E-F866A26476AD}
116.00232500056,-32.0720380003129,LM00167,Intersection,4415,004415,Albany Hwy & Dorothy St,In Service,2004572,{4F01F685-4C80-4FC0-A6E4-A537E45D6BA7}
116.016303647073,-32.1171456218672,LM01244,Intersection,14851,014851,Albany Hwy & Fancote St & Davis Rd,In Service,2004573,{05DD37E6-7601-47A0-B677-254236C544AF}
116.673949000552,-31.6491170006204,LM00604,Intersection,7504,007504,Northam - Cranbrook & Fitzgerald St & Peel Tce & Northam - Pithara,In Service,2004574,{EFE5ECFA-FA82-4A80-9C47-0F5018C6C55B}
115.890058246219,-31.9685811235092,LM00165,Intersection,4405,004405,H001 & Bus Lane : Bus Stn - H530 & H005 W Bnd Off Ramp & Bus Lane : Causeway N,In Service,2004575,{8CC7F992-9B50-4D28-BF12-DFDD79E8E7CE}
115.821106355903,-31.9013427180803,LM00402,Intersection,4347,004347,Hutton St On - H016 Sth Bound & Hutton St & H016 Sth Bound - Hutton St Off,In Service,2004576,{DC13FCA4-F65D-4331-BC43-38EA89F6D721}
115.820074101605,-31.9021026694376,LM00402,Intersection,4346,004346,H016 Nth Bound - Hutton St Off & Hutton St & Hutton St On - H016 Nth Bound,In Service,2004577,{B73C0DD7-A8ED-4F64-B07F-850948BB68AF}
115.801722027506,-31.8678207904148,LM00429,Intersection,4182,004182,Erindale Rd On - H016 Sth Boun & Erindale Rd,In Service,2004578,{5E7D1E5B-D123-473E-9320-EC0A3A4FC308}
116.024300501788,-31.8999991035612,LM00908,Intersection,3500,003500,Clayton St On - H018 Sth Bound & Clayton St,In Service,2004579,{3A086169-8F15-47B7-926C-13A810A76B84}
115.792983000089,-31.8381670005175,LM00474,Intersection,13933,013933,Warwick Rd On - H106 Nth Bound & Warwick Rd & H016 Nth Bound - Warwick Rd Of,In Service,2004580,{C49682FB-DDA6-4B4D-801C-E4927DADD71C}
115.78462117325,-31.8176051346872,LM00475,Intersection,13905,013905,Hepburn Av On - H016 Sth Bnd & Hepburn Av & H016 Sth Bnd - Hepburn Av Off,In Service,2004581,{0DBBE73F-22C0-4349-8190-C24F52C8ACD9}
115.794412831434,-31.8381804456699,LM00474,Intersection,13941,013941,H016 Sth Bound - Warwick Rd Off & Warwick Rd & Warwick Rd On - H016 Sth Bound,In Service,2004582,{7BB6B96C-0580-487C-BB2D-2135FC98175C}
115.78248196428,-31.8171815065846,LM00952,Intersection,13892,013892,H016 Nth Bnd - Hepburn Av Off & Hepburn Av & Hepburn Av On - H016 Nth Bnd,In Service,2004583,{E1F0E4C3-9DBD-4838-BAEA-AB5B403FD1C6}
115.781231842467,-31.7983468395828,LM00516,Intersection,13882,013882,H016 Nth Bnd - Whitfords Av Off & Whitfords Av & Whitfords Av Off - H016 Nth Bnd,In Service,2004584,{B0501BD1-AA5F-46C9-BBC6-7F619EB006AB}
115.780582550548,-31.7749378569171,LM00517,Intersection,13880,013880,Ocean Reef Rd On - H016 Sth Bo & Ocean Reef Rd & H016 Sth Bound - Ocean Reef Rd,In Service,2004585,{194489AC-0837-479E-A06F-96DE97C186BD}
115.83720900052,-31.9358110006168,LM00606,Intersection,14075,014075,Vincent St On - H016 Nth Bound & Vincent St & Southport St & Lake Monger Dr,In Service,2004586,{53D5837F-5A20-4E4A-9A8E-FCDCB5E79D9B}
115.764843116631,-31.7548347475812,LM00734,Intersection,82410,082410,Hodges Dr On - H016 Sth Bound & Hodges Dr,In Service,2004587,{1956C792-76C8-42CB-8135-D45374B18B1A}
115.893136038064,-31.9498369525061,LM00722,Intersection,116268,116268,H020 WB Off & Victoria Park Dr & H020 WB On,In Service,2004588,{B3DFF443-DD3B-49D7-81A3-486A8BCC191F}
115.889732145512,-31.947198607263,LM00723,Intersection,116265,116265,H020 EB Off & Saintly Ent,In Service,2004589,{F8702B8A-4E57-45AC-A5F2-2A6758D42310}
115.869604000227,-31.9489030005166,LM00695,Intersection,50640,050640,Lord St - East Pde & Parry St & Lord St,In Service,2004590,{A2B2F348-4B21-4225-8B40-7E1B53C60EBC}
115.849428713985,-31.9484739766243,LM00484,Intersection,50569,050569,Wellington St 124 0116 - H016 & Wellington St & George St,In Service,2004591,{E3A50ABD-F2D3-4518-9D3B-6BA23FCDB863}
115.858045944391,-32.1574395585781,LM00772,Intersection,76936,076936,Kwinana Fwy Sth - Russell Rd & Gibb Rd & Russell Rd - Kwinana Fwy Sth & Russel,In Service,2004592,{80FCCD11-50A2-44F0-ACBE-B1DD67799B57}
115.857941840251,-32.1806511102459,LM00773,Intersection,119095,119095,Kwinana Fwy Sth - Rowley Rd & Rowley Rd & Rowley Rd - Kwinana Fwy Sth,In Service,2004593,{5BF5B1D3-A711-43E3-9EFA-6DA8E0BB2282}
115.856373013709,-32.1806533048768,LM00773,Intersection,119098,119098,Kwinana Fwy Nth - Rowley Rd & Rowley Rd & Rowley Rd - Kwinana Fwy Nth,In Service,2004594,{AD294E7B-AE48-4D50-BF4C-B3FDC1DBCF0C}
115.851130103382,-32.2100508247923,LM00774,Intersection,119101,119101,Kwinana Fwy Sth - Anketell Rd & Anketell Rd & Anketell Rd - Kwinana Fwy Sth,In Service,2004595,{A90D1CC9-0970-4C14-971C-96900E99FE5A}
115.849572926255,-32.2098064515687,LM00774,Intersection,119104,119104,Kwinana Fwy Nth - Anketell Rd & Anketell Rd & Anketell Rd - Kwinana Fwy Nth,In Service,2004596,{96CC3EDE-560F-48BC-A38B-F56E7E0DB7E8}
115.851080600515,-32.2308491345806,LM00651,Intersection,72536,072536,Thomas Rd & Kwinana Fwy Sth - Thomas Rd & Thomas Rd & Thomas Rd - Kwinana Fwy,In Service,2004597,{BE4FA7A0-9213-49DF-935E-BD6DD2553A0C}
115.853807405826,-32.2552692187331,LM00775,Intersection,119112,119112,Kwinana Fwy Sth - Mortimer Rd & Mortimer Rd & Mortimer Rd - Kwinana Fwy Sth,In Service,2004598,{B3464617-4D9E-4A87-A39C-3B2209CC096A}
115.852175722767,-32.2552815815823,LM00775,Intersection,119115,119115,Kwinana Fwy Nth - Mortimer Rd & Mortimer Rd & Mortimer Rd - Kwinana Fwy Nth,In Service,2004599,{469E3AC7-BB07-40A5-B055-BD84B3CD95A0}
115.836646766106,-32.2937040471454,LM00776,Intersection,119118,119118,Kwinana Fwy Sth - Mundijong Rd & Mundijong Rd & Mundijong Rd - Kwinana Fwy Sth,In Service,2004600,{F5903D7A-C730-4A07-80C8-2EA7C67AC2CF}
115.835073351571,-32.2936128005401,LM00776,Intersection,119121,119121,Kwinana Fwy Nth - Kulija Rd & Kulija Rd & Kulija Rd - Kwinana Fwy Nth,In Service,2004601,{6ED30E0E-2E12-4267-9E6C-45FE547F21BF}
115.802193777359,-31.8563397182272,LM00473,Intersection,3642,003642,Reid Hwy & Reid Hwy - Mitchell Fwy Sth On & H016 Sth Bound - Reid Hwy Off & Balc,In Service,2004602,{AD08E185-2966-4612-919E-2FA4FC412EB2}
115.889661860134,-31.9686958605287,LM00165,Intersection,119160,119160,Albany Hwy & Bus Lane : Causeway Nth Bnd & H005 W Bnd Off Ramp,In Service,2004603,{EEF73A45-9E2A-443D-8C98-CB6C52786A31}
115.826500741514,-31.8599902458307,LM00656,Intersection,75553,075553,Wanneroo Rd & Wanneroo Rd On - H021 West Bou & H021 West Bound - Wanneroo Rd,In Service,2004604,{BCC9A5DE-C3DF-47CA-8B8D-4FC75EF0F60C}
115.823284000223,-31.8425860006511,LM00271,Intersection,4033,004033,Wanneroo Rd & Beach Rd,In Service,2004605,{70AC8B0B-C6C9-4EB4-839D-87568153E850}
115.821403034258,-31.8311487124222,LM00592,Intersection,4106,004106,Wanneroo Rd & Marangaroo Dr,In Service,2004606,{23C12EFB-AE6D-4824-84FB-F022ED04634A}
115.80353638964,-31.7522581565352,LM00487,Intersection,13985,013985,Wanneroo Rd & Hastings St & Conlan Av,In Service,2004607,{FCF85CF0-6CD8-401F-82FB-5088440B817A}
115.802742809674,-31.7509989874102,LM00736,Intersection,13981,013981,Wanneroo Rd & Dundebar Rd,In Service,2004608,{7FF2C26F-93A0-4C9E-826A-1F7E2A0F6FAA}
115.794299555595,-31.7371997301705,LM01093,Intersection,13934,013934,Wanneroo Rd & Wallawa St,In Service,2004609,{4A5B3DA6-9AA3-4E47-8284-C6A4318A617B}
115.851913000427,-31.9420649995631,LM00016,Intersection,4336,004336,Wanneroo Rd & Newcastle St & Charles St On - H016 Sth Bound & H016 Nth Bound - C,In Service,2004610,{89F7DA82-8198-4D6D-B2E9-330B3C5FDB9F}
115.84286700062,-31.9022590000741,LM00204,Intersection,55042,055042,Wanneroo Rd & Cape St,In Service,2004611,{3D192AC8-8ECB-4C57-B508-F90FD7592A46}
115.840669109937,-31.8966135129444,LM00105,Intersection,55045,055045,Wanneroo Rd & Royal St,In Service,2004612,{8E84E20B-E3C5-4B1D-9CB1-D7A3CF924F6C}
115.829660000631,-31.8682919998312,LM00361,Intersection,4138,004138,Wanneroo Rd & Main St,In Service,2004613,{CCC96E67-C397-4CF8-91FC-ACBC17FD7899}
115.82781467633,-31.8636700556725,LM00371,Intersection,3630,003630,Wanneroo Rd & Balcatta Rd,In Service,2004614,{39A565B9-A088-440D-823E-49908CCBF6D0}
115.826051627098,-31.8587986570403,LM00656,Intersection,75554,075554,Wanneroo Rd & H021 East Bound - Wanneroo Rd & Wanneroo Rd On - H021 East Bou,In Service,2004615,{FF8BC363-FAAB-452F-A52C-470ECB3AF798}
115.812605446654,-31.7914855498067,LM00581,Intersection,11969,011969,Wanneroo Rd & Prindiville Dr & Rosso Mndr,In Service,2004616,{F022212A-A3D5-4A40-8F81-825628CA2068}
115.764533999651,-31.986408999651,LM00890,Intersection,42713,042713,West Coast Hwy & Curtin Av & Grant St,In Service,2004617,{E0DA81F9-CAF0-42D0-A40D-D609D825AB66}
115.766488386385,-31.9839821224652,LM00422,Intersection,41181,041181,West Coast Hwy & Claremont Cr,In Service,2004618,{8010DE2E-63D5-46E3-8872-A60229996CC9}
115.766760327604,-31.9711394040418,LM00476,Intersection,4597,004597,West Coast Hwy & to Campbell Barracks & Alfred Rd,In Service,2004619,{80538756-C81A-45C1-95F8-8E8223CE25C1}
115.760774748459,-31.9398308896059,LM00367,Intersection,52623,052623,West Coast Hwy & Oceanic Dr,In Service,2004620,{C007BE22-EE84-4457-AA0B-E2825087F541}
115.758093777336,-31.9137313881002,LM00799,Intersection,52589,052589,West Coast Hwy & Hale Rd,In Service,2004621,{D9660D68-BBF0-4B65-9C90-4D1E90981FF7}
